Source,Target
119450,49049
273481,345887
273481,979
273481,2142
273481,4771
273481,479
350,65754
350,1372
350,2501
350,2503
350,8966
296096,8966
296096,466282
296096,12689
296096,43923
296096,9813
378064,376660
378064,13342
378064,449176
378064,11887
378064,76726
340666,222935
340666,12689
340666,489
340666,562
77338,44564
77338,61979
77338,489
77338,862
77338,2898
468362,691
468362,401469
468362,947
468362,85
468362,564
446354,891
446354,424
446354,324786
446354,363676
446354,396371
152601,605
152601,604
152601,335984
152601,500664
152601,9739
106646,400535
106646,318846
106646,627
106646,1359
106646,152532
569547,157353
569547,62
569547,335984
569547,78
569547,296
346672,12437
346672,24
346672,140300
346672,18239
346672,24021
254172,40807
254172,49519
254172,340027
254172,13
254172,510
278927,9502
278927,9325
278927,116149
278927,314095
315837,201088
315837,9323
315837,603
315837,605
315837,1571
50620,24021
50620,36648
50620,49017
50620,50619
312221,319888
312221,307081
312221,9472
312221,9563
312221,10637
201088,59961
201088,2502
201088,5503
201088,27576
201088,213
433498,769
433498,424
433498,371638
433498,467952
433498,487558
457136,401847
457136,4518
457136,317557
457136,1165
457136,226
489931,75656
489931,269795
489931,37797
489931,209247
489931,5143
395841,357096
395841,75780
395841,4771
395841,395834
395841,392044
273248,253412
273248,120
273248,9350
273248,44115
273248,81390
391713,9813
391713,84892
391713,398818
391713,376660
391713,376867
429203,75656
429203,339403
429203,507
429203,359412
429203,968
395990,4771
395990,64689
395990,395841
395990,562
395990,75780
313369,525
313369,10947
313369,2976
313369,10545
313369,342473
399404,424
399404,746
399404,11463
399404,423
399404,324786
576503,449176
576503,26280
576503,501902
576503,184352
576503,377154
451925,24420
451925,576503
451925,817
451925,13
451925,38
11036,1366
11036,1246
11036,7555
11036,1494
11036,11232
449176,376867
449176,26280
449176,511785
449176,501902
406990,75780
406990,949
406990,984
406990,782
406990,2275
307081,70
307081,396371
307081,319888
307081,9563
396371,413362
396371,1645
396371,754
396371,242
396371,640
487670,141052
487670,1452
487670,1924
487670,49521
487670,8536
53182,57165
53182,18823
53182,37958
53182,188207
53182,10323
472451,449176
472451,26280
472451,184352
472451,377154
472451,400547
400617,521
400617,1597
400617,3933
400617,399057
400617,167073
486947,11001
486947,6933
486947,1256
486947,21240
486947,893
121046,149465
121046,149467
121046,147371
121046,149468
121046,274857
265208,309242
265208,8065
265208,32044
265208,524
265208,10220
24021,50619
24021,36648
24021,49017
406997,1265
406997,442062
406997,73
406997,52449
406997,400928
491584,11596
491584,10014
491584,10072
491584,11360
491584,1903
176147,370663
176147,258480
176147,9813
176147,10818
176147,52371
274857,6520
274857,19957
274857,18937
274857,762
274857,616
341174,84892
341174,22705
341174,7007
341174,336843
341174,101299
76203,8619
76203,72331
76203,72976
76203,19067
76203,339408
1417,566810
1417,11224
1417,10882
1417,426543
1417,808
38,1903
38,261470
38,521
38,576503
38,19913
338766,339692
338766,429200
338766,475
338766,1696
338766,152748
476292,378064
476292,297762
476292,81
476292,303858
476292,370663
44214,566512
44214,38810
44214,8834
44214,8328
44214,88
460071,396371
460071,332283
460071,1955
460071,5915
460071,769
290595,37430
290595,15472
290595,767
290595,808
1402,451915
1402,8916
1402,310307
1402,10139
1402,2539
440298,24420
440298,13
440298,235
440298,1903
440298,1259
474354,336843
474354,1645
474354,8055
474354,390051
474354,7984
222935,10229
222935,308369
222935,90369
222935,9880
222935,449176
1949,16995
1949,984
1949,12150
1949,10651
1949,7007
385360,281957
385360,562
385360,49021
385360,238636
385360,245891
4922,458594
4922,48138
4922,334541
4922,510
4922,458737
45269,1165
45269,38050
45269,339397
45269,18320
45269,858
314365,9800
314365,11931
314365,389
314365,15
314365,205587
502682,451480
502682,5951
502682,448514
502682,125255
120467,311
120467,340613
120467,539
120467,97630
120467,843
401905,198663
401905,101299
401905,157350
401905,333339
401905,336843
82693,417678
82693,286565
82693,272693
82693,109689
82693,61979
11130,4974
11130,400617
11130,3933
11130,521
11130,82695
12405,9325
12405,11450
12405,20529
12405,207901
12405,283550
414191,15021
414191,15206
414191,428449
414191,565
414191,75638
340674,340613
340674,340666
340674,2898
340674,824
340674,51828
333371,562
333371,2320
333371,1571
333371,984
333371,1103
472734,8966
472734,10545
472734,222935
472734,9880
472734,84892
37799,65754
37799,201088
37799,15472
37799,24253
37799,446807
381283,588
381283,339692
381283,395834
381283,398181
381283,298312
283366,1452
283366,8536
283366,9531
283366,49521
283366,297762
449459,197
449459,627
449459,399402
449459,428399
449459,180863
500919,984
500919,15069
500919,807
500919,75780
500919,445954
470894,44912
470894,474395
470894,49521
470894,415
470894,155
429417,566512
429417,110415
429417,201085
429417,452507
429417,1903
379149,345887
379149,49021
379149,238636
379149,4836
492258,324786
492258,363676
492258,472451
492258,487558
492258,451915
459910,1900
459910,2034
459910,627
459910,253
459910,4133
503346,9555
503346,8810
503346,47933
503346,602
503346,9659
13223,311
13223,1103
13223,245891
13223,345887
13223,53932
146233,37645
146233,345887
146233,984
146233,4771
146233,1923
507076,184352
507076,449176
507076,26280
507076,376867
507076,511785
339692,4771
339692,2749
339692,345887
339692,979
339692,868
438650,458594
438650,345887
438650,357096
438650,46957
438650,74997
122906,13
122906,141
122906,627
122906,433
122906,521
464502,74997
464502,458594
464502,281957
464502,10781
464502,357096
489929,179826
489929,339692
489929,270946
489929,49013
489929,50620
389015,396371
389015,443009
389015,319888
389015,152792
389015,5915
254,244
254,58
254,497
254,135397
254,329
388,531593
388,228150
388,1771
388,562
388,637
363676,2567
363676,87502
363676,10559
363676,2320
363676,423
432301,403
432301,440298
432301,2142
432301,376866
432301,2604
400579,433
400579,2758
400579,10054
400579,277216
400579,4723
87827,700
87827,205775
87827,9836
87827,10527
87827,551
335797,9836
335797,260514
335797,9598
335797,258509
335797,9447
787,249070
787,1620
787,13184
787,38055
787,682
1372,616
1372,65754
1372,2024
1372,1579
64690,341006
64690,1991
64690,769
64690,398175
64690,74997
82695,3933
82695,3131
82695,1894
82695,342473
82695,16563
68724,605
68724,604
68724,2048
68724,603
68724,157336
445954,357096
445954,10651
445954,984
445954,281957
445954,345887
454652,10161
454652,340613
454652,363676
454652,401847
454652,487558
4982,4836
4982,272
4982,4133
4982,1900
4982,2034
254320,119450
254320,133121
254320,76341
254320,63
254320,406761
70,1374
70,1371
70,1375
70,1367
70,921
2502,2501
2502,2503
2502,562
2502,49021
2502,1571
500475,8012
500475,4771
500475,17494
500475,398181
500475,979
84892,449176
84892,376867
84892,426613
84892,12689
112160,53932
112160,14
112160,449176
112160,17130
112160,86331
561,408220
561,9651
561,155
561,588
561,272
652,57165
652,10693
652,18823
652,188207
652,11527
419831,1927
419831,408220
419831,9651
419831,155
419831,1452
339103,769
339103,261023
339103,396371
339103,156022
339103,9679
376867,511785
376867,26280
376867,258480
376867,468
339988,157353
339988,296
339988,62
339988,264660
339988,13027
8328,65
8328,650
8328,71
8328,9472
64682,27066
64682,346685
64682,1259
64682,4148
64682,8966
15472,65754
15472,315837
15472,397837
15472,131634
15472,101299
395992,2067
395992,157336
395992,126889
395992,286217
395992,348
462919,64255
462919,454
462919,1580
462919,621
462919,557648
566512,452507
566512,201085
566512,755
566512,101299
566512,378018
419478,376660
419478,10947
419478,74018
419478,10625
419478,4951
193756,424
193756,281957
193756,336843
193756,467952
467952,449176
467952,424
467952,84892
467952,423
467952,339259
116745,1907
116745,579
116745,578
116745,492336
116745,580
398181,8012
398181,769
398181,281957
398181,4771
446791,345887
446791,74997
446791,2320
446791,984
446791,769
350312,566810
350312,809
350312,810
350312,10882
350312,150689
465136,70160
465136,336843
465136,321612
465136,476926
465136,428078
2567,5915
2567,640
2567,769
2567,424
75780,4771
75780,357096
75780,11423
75780,37645
75780,7007
453201,2501
453201,2503
453201,8966
453201,10545
453201,350
110415,49049
110415,280
110415,185
110415,281957
110415,8810
443009,324786
443009,363676
443009,487558
443009,451915
1495,38543
1495,26175
1495,10786
1495,272061
1495,285096
72190,336843
72190,294254
72190,82654
72190,198663
72190,101299
75174,281957
75174,290512
75174,244316
75174,5915
9509,9727
9509,984
9509,273481
9509,460321
9509,345887
20662,375588
20662,10907
20662,11469
20662,23047
20662,41215
483184,357096
483184,281957
483184,345887
483184,458594
483184,3134
301337,604
301337,605
301337,335984
301337,500664
301337,9739
258216,249397
258216,53932
258216,22705
258216,112160
258216,796
27022,808
27022,566810
27022,34584
27022,6435
27022,10882
2503,2501
2503,4771
2503,9331
2503,8834
220882,198663
220882,157350
220882,78
220882,336843
220882,101299
11321,415086
11321,393961
11321,76127
11321,476889
11321,72120
314095,390062
314095,120
314095,2454
314095,5915
68734,152532
68734,424694
68734,266856
68734,425336
68734,277216
196867,11224
196867,15157
196867,407655
196867,342473
196867,9325
109424,58
109424,1865
109424,2320
109424,298250
109424,166426
5915,424
5915,324786
5915,363676
5915,396371
5915,401847
505192,20352
505192,11236
505192,17917
505192,21198
505192,283550
395834,345887
395834,75780
395834,8090
395834,2142
168672,1422
168672,769
168672,9366
168672,8012
168672,2252
384680,396373
384680,581
384680,395834
384680,8584
384680,281957
371638,8966
371638,75900
371638,84892
371638,424
371638,313369
1640,75780
1640,2142
1640,193893
1640,638
1640,1266
369885,289
369885,423
369885,676
369885,13752
376660,76726
376660,13342
376660,10206
376660,19458
484436,445571
484436,9598
484436,450322
484436,10345
484436,10063
7840,425
7840,49519
7840,950
7840,278154
7840,387592
152532,502220
152532,9800
152532,557648
152532,39934
253412,9350
253412,281957
253412,205775
253412,44115
253412,81390
11322,68734
11322,1369
11322,245891
11322,10483
11322,5925
12783,4507
12783,27066
12783,843
12783,4148
12783,283227
557648,502220
557648,184352
557648,449176
557648,26280
557648,424694
38810,157851
38810,1278
38810,2124
38810,979
154400,324542
154400,64689
154400,8321
154400,949
154400,769
22972,143
22972,8741
22972,324786
22972,374720
22972,676
261470,276
261470,34494
261470,24420
261470,979
9762,9813
9762,634
9762,858
9762,12689
9762,11631
11081,984
11081,807
11081,75780
11081,11423
11081,256731
39254,44833
39254,2048
39254,604
39254,605
39254,157336
455108,281957
455108,392044
455108,336843
455108,4836
455108,133805
157353,201088
157353,604
157353,605
157353,7551
157353,62
346685,2501
346685,49022
346685,8834
318846,44639
318846,5915
318846,769
318846,640
318846,424
124905,373571
124905,15767
124905,7191
124905,36243
124905,15766
296524,5919
296524,2320
296524,568
296524,205775
296524,551
274870,157336
274870,126889
274870,8077
274870,348
274870,286217
448776,769
448776,107846
448776,10734
448776,5925
448776,5915
334541,345920
334541,493922
334541,399057
334541,428449
394117,376867
394117,17130
394117,627
394117,235
394117,13
82682,10651
82682,4836
82682,8012
82682,1266
82682,64689
6479,604
6479,605
6479,603
6479,534
6479,157350
18487,968
18487,769
18487,303858
18487,50839
18487,11474
8321,8871
8321,101
8321,11881
8321,11395
8321,4836
413362,445954
413362,18587
413362,4771
413362,1266
413362,281
186,156022
186,261023
186,769
186,395834
186,2142
205587,1645
205587,389
205587,396371
205587,413362
511785,184352
511785,26280
511785,11000
171274,1949
171274,8966
171274,769
171274,169917
171274,466282
73881,21385
73881,12230
73881,155
73881,597
73881,920
17431,157336
17431,604
17431,605
17431,500664
17431,335984
19913,49950
19913,50544
19913,489
19913,521
19913,398818
72570,1903
72570,346685
72570,458594
72570,77
72570,204922
293768,984
293768,2142
293768,11859
293768,9056
293768,11412
470229,133805
470229,357096
470229,1949
470229,948
470229,238636
97630,27576
97630,9331
97630,59961
97630,398181
97630,400535
1966,449176
1966,501902
1966,26280
1966,376867
1966,511785
249397,22705
249397,9540
249397,112160
249397,979
48171,9946
48171,170
48171,458737
48171,956
48171,12700
10947,11887
10947,74018
10947,13649
10947,89185
353326,340027
353326,205596
353326,334543
353326,1955
353326,453
302401,363676
302401,487558
302401,443009
302401,451915
302401,424
86834,615
86834,14161
86834,310
86834,583
86834,107985
11887,786
11887,13649
11887,2105
11887,376660
207932,281957
207932,133805
207932,37645
207932,49021
207932,2503
8456,391757
8456,445954
8456,345887
8456,133805
8456,11713
68722,414425
68722,460885
68722,359871
